impl,elements,procs,threads,median_ms,scatter_ms,localsort_ms,pivots_ms,exchange_ms,merge_ms,gather_ms,checksum,device,local_ws,run,command
mpi,1000000,16,1,7.455,1.023,3.078,0.113,1.738,0.654,0.850,2146409207669040,cpu native,,1,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,16,1,8.160,1.789,2.998,0.283,1.674,0.679,0.737,2146409207669040,cpu native,,2,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 1000000 --runs 1
mpi,1000000,16,1,9.026,1.002,3.188,0.217,2.884,0.694,1.041,2146409207669040,cpu native,,3,/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./quicksort_mpi --n 1000000 --runs 1
mpi+ocl,1000000,1,1,75.650,0.219,73.417,0.000,1.798,0.000,0.215,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,1,1,78.974,0.201,77.470,0.000,1.092,0.000,0.212,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,1,1,83.116,0.210,81.610,0.000,1.088,0.000,0.207,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 1 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,2,1,71.510,0.713,68.676,0.017,0.447,1.361,0.295,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,2,1,68.367,0.571,65.717,0.016,0.408,1.455,0.200,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,2,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,2,1,68.448,0.808,65.489,0.015,0.381,1.521,0.234,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,3,/home/michael_pappas/anaconda3/bin/mpirun -np 2 ./quicksort_mpi_ocl --n 1000000 --runs 1
mpi+ocl,1000000,4,1,52.334,0.670,49.071,0.035,0.801,1.473,0.284,2146409207669040,CPU pthread-13th Gen Intel(R) Core(TM) i9-13900KF,runtime,1,/home/michael_pappas/anaconda3/bin/mpirun -np 4 ./quicksort_mpi_ocl --n 1000000 --runs 1
