version,N,procs,threads,generate_us,distribute_us,compute_us,gather_us,seconds,checksum,verify,run,command
mpi+omp,100,2,1,221,247,146,213,0.000607,2472987609,ok,3,"mpirun -np 2 ./matrix_mpi_omp 100 1"
mpi+omp,100,2,2,251,393,3271,300,0.003965,2472987609,ok,1,"mpirun -np 2 ./matrix_mpi_omp 100 2"
mpi+omp,100,2,2,222,258,430,203,0.000893,2472987609,ok,2,"mpirun -np 2 ./matrix_mpi_omp 100 2"
mpi+omp,100,2,2,223,256,268,235,0.000760,2472987609,ok,3,"mpirun -np 2 ./matrix_mpi_omp 100 2"
mpi+omp,100,2,4,224,263,1958,213,0.002435,2472987609,ok,1,"mpirun -np 2 ./matrix_mpi_omp 100 4"
mpi+omp,100,2,4,226,276,5318,415,0.006010,2472987609,ok,2,"mpirun -np 2 ./matrix_mpi_omp 100 4"
mpi+omp,100,2,4,223,248,2775,356,0.003381,2472987609,ok,3,"mpirun -np 2 ./matrix_mpi_omp 100 4"
mpi+omp,100,2,8,255,780,607,365,0.001754,2472987609,ok,1,"mpirun -np 2 ./matrix_mpi_omp 100 8"
mpi+omp,100,2,8,246,459,5898,507,0.006865,2472987609,ok,2,"mpirun -np 2 ./matrix_mpi_omp 100 8"
mpi+omp,100,2,8,221,291,3123,197,0.003612,2472987609,ok,3,"mpirun -np 2 ./matrix_mpi_omp 100 8"
mpi+omp,100,4,1,227,572,76,224,0.000873,2472987609,ok,1,"mpirun -np 4 ./matrix_mpi_omp 100 1"
mpi+omp,100,4,1,252,653,96,275,0.001026,2472987609,ok,2,"mpirun -np 4 ./matrix_mpi_omp 100 1"
mpi+omp,100,4,1,254,519,84,227,0.000832,2472987609,ok,3,"mpirun -np 4 ./matrix_mpi_omp 100 1"
mpi+omp,100,4,2,246,477,6808,726,0.008012,2472987609,ok,1,"mpirun -np 4 ./matrix_mpi_omp 100 2"
mpi+omp,100,4,2,248,607,4634,273,0.005515,2472987609,ok,2,"mpirun -np 4 ./matrix_mpi_omp 100 2"
mpi+omp,100,4,2,336,851,9092,457,0.010401,2472987609,ok,3,"mpirun -np 4 ./matrix_mpi_omp 100 2"
mpi+omp,100,4,4,333,746,5134,460,0.006342,2472987609,ok,1,"mpirun -np 4 ./matrix_mpi_omp 100 4"
mpi+omp,100,4,4,229,490,7976,396,0.008864,2472987609,ok,2,"mpirun -np 4 ./matrix_mpi_omp 100 4"
mpi+omp,100,4,4,254,780,2407,480,0.003669,2472987609,ok,3,"mpirun -np 4 ./matrix_mpi_omp 100 4"
mpi+omp,100,4,8,317,956,12628,966,0.014551,2472987609,ok,1,"mpirun -np 4 ./matrix_mpi_omp 100 8"
