experiment,workload,rows,impl,procs,reducers,partition,combiner,keys,shuffle_entries,remote_entries,entry_imbalance,time_imbalance,map_ms,plan_ms,shuffle_ms,reduce_ms,gather_ms,total_ms,checksum,run,command
reducers,large,60480000,mr,16,1,weighted,on,5040000,5050825,4735623,1.0000,1.0000,152.797,2.032,42.521,148.071,0.368,345.790,9710425931372569117,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 1 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,1,weighted,on,5040000,5050825,4735623,1.0000,1.0000,165.210,2.228,43.094,163.040,0.288,373.860,9710425931372569117,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 1 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,2,weighted,on,5040000,5050825,4735623,1.0000,1.0188,148.913,2.242,23.800,74.951,0.329,250.235,9710425931372569117,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 2 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,2,weighted,on,5040000,5050825,4735623,1.0000,1.0458,159.671,2.329,26.460,87.960,0.398,276.819,9710425931372569117,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 2 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,2,weighted,on,5040000,5050825,4735623,1.0000,1.0783,150.435,2.362,25.674,86.409,0.394,265.274,9710425931372569117,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 2 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,4,weighted,on,5040000,5050825,4735623,1.0001,1.1133,156.816,2.541,20.323,40.122,0.391,220.193,9710425931372569117,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 4 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,4,weighted,on,5040000,5050825,4735623,1.0001,1.1132,148.224,2.232,21.487,38.521,0.542,211.006,9710425931372569117,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 4 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,4,weighted,on,5040000,5050825,4735623,1.0001,1.1280,170.163,2.371,23.088,39.345,0.322,235.290,9710425931372569117,3,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 4 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,8,weighted,on,5040000,5050825,4734686,1.0018,1.1431,172.878,2.509,18.113,21.046,0.437,214.982,9710425931372569117,1,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 8 --print-hours 0 --verify --csv"
reducers,large,60480000,mr,16,8,weighted,on,5040000,5050825,4734686,1.0018,1.1875,168.819,2.213,15.156,20.152,0.430,206.771,9710425931372569117,2,"/home/michael_pappas/anaconda3/bin/mpirun -np 16 ./traffic_mr --in ../m2t3d/data/traffic_large.csv --partition weighted --reducers 8 --print-hours 0 --verify --csv"
