workload,rows,mode,producers,consumers,buffer,block,summary,run,ms,checksum,records
medium,20160000,par,1,1,64,4096,local,3,424.1,4461579235480396692,20160000
medium,20160000,par,1,1,64,4096,local,4,419.093,4461579235480396692,20160000
medium,20160000,par,1,1,64,4096,local,5,416.657,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,1,219.446,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,2,215.945,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,3,216.534,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,4,216.298,4461579235480396692,20160000
medium,20160000,par,2,2,64,4096,local,5,216.512,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,1,116.307,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,2,116.258,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,3,114.406,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,4,116.052,4461579235480396692,20160000
medium,20160000,par,4,4,64,4096,local,5,117.916,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,1,79.6441,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,2,74.4873,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,3,79.5871,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,4,83.6988,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,local,5,84.4788,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,1,66.0001,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,2,66.9684,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,3,67.295,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,4,64.5723,4461579235480396692,20160000
medium,20160000,par,16,16,64,4096,local,5,64.3241,4461579235480396692,20160000
medium,20160000,par,8,2,64,4096,local,1,65.5048,4461579235480396692,20160000
medium,20160000,par,8,2,64,4096,local,2,64.8003,4461579235480396692,20160000
medium,20160000,par,8,2,64,4096,local,3,66.6431,4461579235480396692,20160000
medium,20160000,par,8,2,64,4096,local,4,65.9737,4461579235480396692,20160000
medium,20160000,par,8,2,64,4096,local,5,69.6045,4461579235480396692,20160000
medium,20160000,par,2,8,64,4096,local,1,219.468,4461579235480396692,20160000
medium,20160000,par,2,8,64,4096,local,2,217.098,4461579235480396692,20160000
medium,20160000,par,2,8,64,4096,local,3,220.821,4461579235480396692,20160000
medium,20160000,par,2,8,64,4096,local,4,226.63,4461579235480396692,20160000
medium,20160000,par,2,8,64,4096,local,5,220.519,4461579235480396692,20160000
medium,20160000,par,8,8,4,4096,local,1,80.2575,4461579235480396692,20160000
medium,20160000,par,8,8,4,4096,local,2,81.7583,4461579235480396692,20160000
medium,20160000,par,8,8,4,4096,local,3,80.9999,4461579235480396692,20160000
medium,20160000,par,8,8,4,4096,local,4,86.7541,4461579235480396692,20160000
medium,20160000,par,8,8,4,4096,local,5,77.1812,4461579235480396692,20160000
medium,20160000,par,8,8,256,4096,local,1,80.113,4461579235480396692,20160000
medium,20160000,par,8,8,256,4096,local,2,79.3534,4461579235480396692,20160000
medium,20160000,par,8,8,256,4096,local,3,82.769,4461579235480396692,20160000
medium,20160000,par,8,8,256,4096,local,4,76.5944,4461579235480396692,20160000
medium,20160000,par,8,8,256,4096,local,5,76.8616,4461579235480396692,20160000
medium,20160000,par,8,8,64,256,local,1,669.656,4461579235480396692,20160000
medium,20160000,par,8,8,64,256,local,2,707.078,4461579235480396692,20160000
medium,20160000,par,8,8,64,256,local,3,648.433,4461579235480396692,20160000
medium,20160000,par,8,8,64,256,local,4,653.338,4461579235480396692,20160000
medium,20160000,par,8,8,64,256,local,5,675.965,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,atomic,1,78.576,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,atomic,2,79.0461,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,atomic,3,82.167,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,atomic,4,75.5954,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,atomic,5,75.9784,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,shared,1,749.876,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,shared,2,756.358,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,shared,3,779.429,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,shared,4,779.952,4461579235480396692,20160000
medium,20160000,par,8,8,64,4096,shared,5,776.636,4461579235480396692,20160000
large,60480000,seq,1,0,0,0,none,1,1119.51,9710425931372569117,60480000
large,60480000,seq,1,0,0,0,none,2,1115.24,9710425931372569117,60480000
large,60480000,seq,1,0,0,0,none,3,1112.31,9710425931372569117,60480000
large,60480000,seq,1,0,0,0,none,4,1113.15,9710425931372569117,60480000
large,60480000,seq,1,0,0,0,none,5,1113.33,9710425931372569117,60480000
large,60480000,par,1,1,64,4096,local,1,1263.45,9710425931372569117,60480000
large,60480000,par,1,1,64,4096,local,2,1256.28,9710425931372569117,60480000
large,60480000,par,1,1,64,4096,local,3,1251.14,9710425931372569117,60480000
large,60480000,par,1,1,64,4096,local,4,1251.02,9710425931372569117,60480000
large,60480000,par,1,1,64,4096,local,5,1257.14,9710425931372569117,60480000
large,60480000,par,2,2,64,4096,local,1,649.687,9710425931372569117,60480000
large,60480000,par,2,2,64,4096,local,2,649.995,9710425931372569117,60480000
large,60480000,par,2,2,64,4096,local,3,647.181,9710425931372569117,60480000
large,60480000,par,2,2,64,4096,local,4,645.154,9710425931372569117,60480000
large,60480000,par,2,2,64,4096,local,5,647.505,9710425931372569117,60480000
large,60480000,par,4,4,64,4096,local,1,351.589,9710425931372569117,60480000
large,60480000,par,4,4,64,4096,local,2,345.265,9710425931372569117,60480000
large,60480000,par,4,4,64,4096,local,3,342.126,9710425931372569117,60480000
large,60480000,par,4,4,64,4096,local,4,348.298,9710425931372569117,60480000
large,60480000,par,4,4,64,4096,local,5,356.274,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,local,1,235.384,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,local,2,228.66,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,local,3,221.499,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,local,4,237.687,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,local,5,226.932,9710425931372569117,60480000
large,60480000,par,16,16,64,4096,local,1,185.804,9710425931372569117,60480000
large,60480000,par,16,16,64,4096,local,2,179.944,9710425931372569117,60480000
large,60480000,par,16,16,64,4096,local,3,180.862,9710425931372569117,60480000
large,60480000,par,16,16,64,4096,local,4,186.298,9710425931372569117,60480000
large,60480000,par,16,16,64,4096,local,5,188.986,9710425931372569117,60480000
large,60480000,par,8,2,64,4096,local,1,202.744,9710425931372569117,60480000
large,60480000,par,8,2,64,4096,local,2,197.144,9710425931372569117,60480000
large,60480000,par,8,2,64,4096,local,3,190.632,9710425931372569117,60480000
large,60480000,par,8,2,64,4096,local,4,191.429,9710425931372569117,60480000
large,60480000,par,8,2,64,4096,local,5,205.245,9710425931372569117,60480000
large,60480000,par,2,8,64,4096,local,1,797.624,9710425931372569117,60480000
large,60480000,par,2,8,64,4096,local,2,698.884,9710425931372569117,60480000
large,60480000,par,2,8,64,4096,local,3,660.071,9710425931372569117,60480000
large,60480000,par,2,8,64,4096,local,4,661.02,9710425931372569117,60480000
large,60480000,par,2,8,64,4096,local,5,664.557,9710425931372569117,60480000
large,60480000,par,8,8,4,4096,local,1,229.057,9710425931372569117,60480000
large,60480000,par,8,8,4,4096,local,2,228.676,9710425931372569117,60480000
large,60480000,par,8,8,4,4096,local,3,226.447,9710425931372569117,60480000
large,60480000,par,8,8,4,4096,local,4,233.085,9710425931372569117,60480000
large,60480000,par,8,8,4,4096,local,5,223.014,9710425931372569117,60480000
large,60480000,par,8,8,256,4096,local,1,236.692,9710425931372569117,60480000
large,60480000,par,8,8,256,4096,local,2,231.587,9710425931372569117,60480000
large,60480000,par,8,8,256,4096,local,3,228.099,9710425931372569117,60480000
large,60480000,par,8,8,256,4096,local,4,244.208,9710425931372569117,60480000
large,60480000,par,8,8,256,4096,local,5,261.168,9710425931372569117,60480000
large,60480000,par,8,8,64,256,local,1,2051.84,9710425931372569117,60480000
large,60480000,par,8,8,64,256,local,2,1990.26,9710425931372569117,60480000
large,60480000,par,8,8,64,256,local,3,1997.96,9710425931372569117,60480000
large,60480000,par,8,8,64,256,local,4,1987.88,9710425931372569117,60480000
large,60480000,par,8,8,64,256,local,5,1990.01,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,atomic,1,233.727,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,atomic,2,235.093,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,atomic,3,225.592,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,atomic,4,223.599,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,atomic,5,227.704,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,shared,1,2340.35,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,shared,2,2190.23,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,shared,3,2165.13,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,shared,4,2291.25,9710425931372569117,60480000
large,60480000,par,8,8,64,4096,shared,5,2300.42,9710425931372569117,60480000
