experiment,scenario,run,backend,threads,block,cost,rebalance,city,link_cells,ticks,spawned,exited,parked,active,wall_ms,ms_per_tick,real_time_ratio,phase_a_ms,phase_b_ms,sync_ms,imbalance,window_imbalance,migration,repartitions,compile_ms,write_ms,state,sensor,exit,max_rss_kb,command
scaling,S,2,static,4,64,-,0,32x32,32,1800,106651,27612,76433,2606,76.837,0.04269,23426.1,37.752,38.247,1.342,1.2322,1.1541,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7672,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 4"
scaling,S,3,static,4,64,-,0,32x32,32,1800,106651,27612,76433,2606,74.491,0.04138,24164.1,37.286,36.350,1.311,1.2107,1.1702,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7696,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 4"
scaling,S,4,static,4,64,-,0,32x32,32,1800,106651,27612,76433,2606,77.493,0.04305,23228.0,37.915,38.735,1.255,1.2399,1.1877,0.0000,0,0.000,0.007,7d051cde5159b18c,5677673899804325068,0,7652,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 4"
scaling,S,5,static,4,64,-,0,32x32,32,1800,106651,27612,76433,2606,75.675,0.04204,23786.0,37.453,37.361,1.132,1.2256,1.1808,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7652,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 4"
scaling,S,1,static,6,64,-,0,32x32,32,1800,106651,27612,76433,2606,60.621,0.03368,29692.8,28.488,30.617,1.187,1.3866,1.2964,0.0000,0,0.000,0.004,7d051cde5159b18c,5677673899804325068,0,7676,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 6"
scaling,S,2,static,6,64,-,0,32x32,32,1800,106651,27612,76433,2606,63.461,0.03526,28363.8,30.622,31.421,1.294,1.4284,1.3400,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 6"
scaling,S,3,static,6,64,-,0,32x32,32,1800,106651,27612,76433,2606,65.425,0.03635,27512.4,31.397,32.524,1.610,1.4498,1.3069,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7672,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 6"
scaling,S,4,static,6,64,-,0,32x32,32,1800,106651,27612,76433,2606,59.448,0.03303,30278.6,29.063,28.871,1.257,1.3717,1.3217,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7700,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 6"
scaling,S,5,static,6,64,-,0,32x32,32,1800,106651,27612,76433,2606,58.818,0.03268,30602.8,28.605,28.805,1.183,1.3693,1.3060,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 6"
scaling,S,1,static,8,64,-,0,32x32,32,1800,106651,27612,76433,2606,58.074,0.03226,30994.8,26.963,29.044,2.793,1.5152,1.2638,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7700,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 8"
scaling,S,2,static,8,64,-,0,32x32,32,1800,106651,27612,76433,2606,54.232,0.03013,33190.8,24.280,27.976,1.617,1.4633,1.2545,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7720,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 8"
scaling,S,3,static,8,64,-,0,32x32,32,1800,106651,27612,76433,2606,66.313,0.03684,27144.2,31.535,32.871,2.353,1.6461,1.3429,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 8"
scaling,S,4,static,8,64,-,0,32x32,32,1800,106651,27612,76433,2606,53.962,0.02998,33356.9,24.898,27.090,1.681,1.4715,1.2773,0.0000,0,0.000,0.005,7d051cde5159b18c,5677673899804325068,0,7668,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 8"
scaling,S,5,static,8,64,-,0,32x32,32,1800,106651,27612,76433,2606,65.277,0.03627,27574.8,30.732,32.505,2.515,1.5967,1.3899,0.0000,0,0.000,0.006,7d051cde5159b18c,5677673899804325068,0,7740,"data/citysim-bench run --city 32x32 --load-state data/S_rush_0730.state --duration 30m --backend static --threads 8"
