version,N,threads,run,seconds,checksum
pthread,2000,4,4,3.004570,19590784644703
openmp,2000,4,4,3.047309,19590784644703
pthread,2000,4,5,2.845463,19590784644703
openmp,2000,4,5,2.855718,19590784644703
pthread,2000,8,1,1.500848,19590784644703
openmp,2000,8,1,1.509846,19590784644703
pthread,2000,8,2,1.414798,19590784644703
openmp,2000,8,2,1.442173,19590784644703
pthread,2000,8,3,1.585983,19590784644703
openmp,2000,8,3,1.433309,19590784644703
pthread,2000,8,4,1.481431,19590784644703
openmp,2000,8,4,1.418257,19590784644703
pthread,2000,8,5,1.554635,19590784644703
openmp,2000,8,5,1.541111,19590784644703
pthread,2000,16,1,0.865523,19590784644703
openmp,2000,16,1,0.990180,19590784644703
pthread,2000,16,2,0.894416,19590784644703
openmp,2000,16,2,0.913225,19590784644703
pthread,2000,16,3,0.965205,19590784644703
openmp,2000,16,3,0.903767,19590784644703
pthread,2000,16,4,1.001921,19590784644703
openmp,2000,16,4,0.908692,19590784644703
pthread,2000,16,5,0.858725,19590784644703
openmp,2000,16,5,0.922483,19590784644703
pthread,2000,32,1,0.785858,19590784644703
openmp,2000,32,1,0.778595,19590784644703
pthread,2000,32,2,0.790354,19590784644703
openmp,2000,32,2,0.802179,19590784644703
pthread,2000,32,3,0.837656,19590784644703
openmp,2000,32,3,0.816419,19590784644703
pthread,2000,32,4,0.769976,19590784644703
openmp,2000,32,4,0.793379,19590784644703
pthread,2000,32,5,0.887443,19590784644703
openmp,2000,32,5,0.797243,19590784644703
